gender,age,work_study_loc,edu,edu_other,discipline,discipline_other,occupation,occupation_other,formation,formation_other,years_experience,org_number,company_size,type_dj,type_dj_other,work_task,work_task_other,prog_lang,prog_lang_other,prog_frequency,prog_frequency_other,prog_experience,prog_edu,prog_edu_other,graphic_tools,tools,tools_other,skill_level_1,skill_level_2,skill_level_3,skill_level_4,skill_level_5,skill_level_6,skill_level_7,skill_training,skill_training_other,skill_upskill,skill_upskill_other,scope_org,scope_org_other,scope,scope_other,beat,beat_other,medium,medium_other,main_platform,main_platform_other,data_used,data_used_other,dedicated_unit,dedicated_unit_other,dedicated_unit_size,project_team_size,project_duration,project_duration_other,collaboration,collaboration_type,collaboration_type_other,challenges,challenges_other,access_local,quality_local,access_national,quality_national,data_journalism_value,data_journalism_value_other,barriers,barriers_other,data_j_value,data_j_value_other,osint_usage...73,osint_tasks,osint_tasks_other,osint_usage...76,osint_usage_other,osint_learning,osint_challenges,osint_ethics,ai_usage,ai_tech,ai_tech_other,ai_tasks,ai_tasks_other,ai_additional_info,ai_challenges,ai_challenges_other,five_years_time,fav_journalist,fav_project,field_improvement,training,training_other,skill_demand_training,skill_demand_training_other,retirement,retirement_other,pigs
Female,25-34,Italy,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time freelancer,NA,"Formal education offline (bootcamps, professional courses and training events)",NA,Under 1 year,Two,"Just me - I am a freelancer, sole proprietor, etc.",I write stories that are enriched and supported by data,NA,"Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel, Google Sheets",NA,Novice,Intermediate,Novice,Intermediate,Novice,Novice,Intermediate,Data Analysis,NA,"Data Analysis, Data Visualisation, Ethics, Data Wrangling",NA,International,NA,"International, National, Local (city, municipality, region, state)",NA,"Agriculture, Crime / Courts, Economy, Education, Energy, Environment, Health, Investigative Reports",NA,"Print or broadcast media outlets with a digital site, Online-only digital outlet",NA,In the online site,NA,"Public official governmental data, Scraped data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Several weeks,NA,No,NA,NA,"Time pressure, Lack of adequate knowledge in data visualisation, Lack of adequate software for scraping or analysis",NA,Poor,Average,Average,Average,"Making predictions (e.g., political or weather forecasting), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of on-field practice, Lack of expert educators",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Donata Columbro,Data ninja,Education,NA,NA,NA,NA,NA,NA,TRUE
Male,35-44,Germany,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time freelancer,NA,"Formal education online (online courses, certifications), Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,One,500+,"I write stories that are enriched and supported by data, I write stories that explain the data",NA,"Analyse data, Clean data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,"Datawrapper, Excel, Google Sheets, R",NA,Intermediate,Advanced,Novice,Novice,Advanced,Novice,Intermediate,"Data Analysis, Data Visualisation, Statistics",NA,Machine Learning,NA,"National, Local (city, municipality, region, state)",NA,"Local (city, municipality, region, state)",NA,"Economy, Education, Environment, Government and Politics, Health, Weather / Climate",NA,"Print or broadcast media outlets with a digital site, Radio, TV",NA,In the online site,NA,"Crowd-sourced data, FOI obtained data, Public official governmental data",NA,"Dedicated data unit/blog/section/desk/team, Sometimes publishing data driven projects",NA,6-10,2-5,Not applicable,NA,No,NA,NA,"Access to quality data, Lack of adequate software for scraping or analysis, Lack of financial resources, Ensuring data reliability, The audience benefit is smaller than the time or money spent, Lack of interest from management",NA,Average,Good,Average,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice",NA,"It helps with finding unique stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,I'm not sure,"Clustering and classification algorithms, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,Text mining,NA,NA,"Access to training, Dedicated time to experiment with it, Legal and regulatory challenges, Concerns about bias and ethics of AI models",NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Germany,Some college or university study without earning a degree,NA,NA,NA,Part-time employment at a news company/organisation,NA,"Higher education (university degree, certificates), Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,3-5 years,One,10 to 49 employees,"I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel, Google Sheets",NA,Novice,Advanced,Intermediate,None,Advanced,Novice,Intermediate,"Journalism, Data Visualisation, Ethics",NA,"Data Analysis, Machine Learning, Scraping, Data Wrangling",NA,"International, National, Local (city, municipality, region, state)",NA,"National, Local (city, municipality, region, state)",NA,"Agriculture, Business and Commerce, Crime / Courts, Economy, Energy, Environment, Government and Politics, Health, Investigative Reports, Weather / Climate",NA,"Print or broadcast media outlets with a digital site, Social media",NA,In both,NA,"Census data, Crowd-sourced data, Public official governmental data, Self-administered survey data, Social media data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,"One, just me",Less than a week,NA,Yes,"One-time project and separate content production, One-time project and sharing of content/data/resources at the organisational level",NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation, Lack of financial resources",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It is necessary given the increase of data, It enables data democratisation, It helps readers make sense of what they are reading",NA,I’m not sure,"Navigate maps, satellites, and location-based information, Create maps and other types of visualisations, Verify sources, images, and/or videos",NA,"News media, Internet media from citizens and social media, Public government data and reports, Professional and academic publications",NA,NA,NA,NA,Yes,"Natural Language Processing (NLP), Speech-to-text and text-to-speech applications",NA,Data visualisation,NA,NA,"Limited understanding of the tool / technology, Legal and regulatory challenges, Explainability and transparency of AI outputs, Concerns about bias and ethics of AI models",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,35-44,Netherlands,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Higher education (university degree, certificates)",NA,3-5 years,One,500+,"I write stories that are enriched and supported by data, I expose information that is hidden in the data",NA,"Analyse data, Clean data, Code/programme, Gather data, Produce data visualisations",NA,"Python, R",NA,Occasionally,NA,3-5 years,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums)",NA,We use a balance of both,Datawrapper,NA,Intermediate,Intermediate,Novice,Novice,Novice,None,Intermediate,None,NA,"Machine Learning, Scraping",NA,"International, National",NA,National,NA,"Agriculture, Government and Politics, Investigative Reports, Opinion",NA,"Print or broadcast media outlets with a digital site, Radio, TV",NA,In the online site,NA,"FOI obtained data, Public official governmental data, Scraped data, Self-administered survey data",NA,Dedicated data unit/blog/section/desk/team,NA,6-10,2-5,A month or more,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis",NA,Poor,Average,Good,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media)",NA,"Lack of expert educators, Other (please specify)",Lack of interest among journalism students,"It helps with finding unique stories, It is necessary given the increase of data",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Natural Language Processing (NLP), Speech-to-text and text-to-speech applications, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Text mining, Other (please specify)",Generating code,NA,"Limited understanding of the tool / technology, Dedicated time to experiment with it, Concerns about bias and ethics of AI models",NA,Yes,NA,"Our own investigation into a tv show that was biased, full of misinformation and sometimes even just plain racist.","Connecting to the audience more and by creating more understanding among the public of what we do. Also: certain basic skills most datajournalists have, such as some insight in statistics, should trickle through to the other fields within journalism. All journalists could benefit from being just a tad more 'beta'.",NA,NA,NA,NA,NA,NA,FALSE
Male,55-64,Germany,Some college or university study without earning a degree,NA,NA,NA,Full-time employment at a news company/organisation,NA,"Workplace training (upskill sessions, bootcamps)",NA,More than 10 years,One,500+,I expose information that is hidden in the data,NA,"Analyse data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,Excel,NA,Intermediate,Advanced,Intermediate,Novice,Advanced,Intermediate,Advanced,None,NA,"Data Analysis, Machine Learning",NA,"International, National, Local (city, municipality, region, state)",NA,"International, National, Local (city, municipality, region, state)",NA,"Agriculture, Business and Commerce, Crime / Courts, Economy, Education, Energy, Environment, Government and Politics, Health, Investigative Reports, Lifestyle, Poverty and Development, Sports, Technology, Weather / Climate",NA,TV,NA,NA,NA,"Census data, Public official governmental data, Social media data",NA,Sometimes publishing data driven projects,NA,NA,2-5,Less than a day,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data visualisation, Ensuring data reliability",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Making predictions (e.g., political or weather forecasting), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,I'm not sure,"Speech-to-text and text-to-speech applications, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Fact-checking and content verification, Image and video analysis, Data cleaning / processing",NA,NA,"Limited understanding of the tool / technology, Access to training, Concerns about bias and ethics of AI models",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,45-54,Portugal,Secondary school,NA,NA,NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications)",NA,More than 10 years,One,2 to 9 employees,I write stories that explain the data,NA,Design web pages,NA,NA,NA,NA,NA,NA,NA,NA,We use only in-house software,Excel,NA,Novice,Intermediate,Novice,Novice,Novice,Novice,Novice,Journalism,NA,"Data Analysis, Journalism, Machine Learning",NA,"Local (city, municipality, region, state)",NA,"National, Local (city, municipality, region, state)",NA,"Business and Commerce, Education, Government and Politics",NA,Online-only digital outlet,NA,NA,NA,"Census data, Social media data",NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Around a day,NA,No,NA,NA,"Access to quality data, Lack of adequate knowledge in data analysis, Lack of adequate software for scraping or analysis, Lack of financial resources",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,Content generation,NA,NA,Access to training,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Male,45-54,Slovenia,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time employment at a news company/organisation,NA,"Workplace training (upskill sessions, bootcamps)",NA,3-5 years,One,100 to 499 employees,"I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Gather data",NA,NA,NA,NA,NA,NA,NA,NA,Mostly in-house software but some external,"Excel, Google Sheets",NA,Intermediate,Advanced,Novice,Novice,Intermediate,Novice,Intermediate,"Data Analysis, Journalism, Data Visualisation, Statistics",NA,"Machine Learning, Scraping, Data Wrangling",NA,National,NA,National,NA,"Economy, Energy, Environment, Investigative Reports, Lifestyle, Opinion, Technology, Weather / Climate",NA,Print or broadcast media outlets with a digital site,NA,In both,NA,"Crowd-sourced data, Open access data from unofficial sources, Public official governmental data, Scraped data, Social media data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Less than a week,NA,Yes,One-time project and separate content production,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Ensuring data reliability",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of on-field practice, Lack of expert educators",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,45-54,Croatia,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time freelancer,NA,"Formal education online (online courses, certifications)",NA,More than 10 years,More than two,"Just me - I am a freelancer, sole proprietor, etc.",I write stories that are enriched and supported by data,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,Not applicable,None of the items listed,NA,Intermediate,Advanced,None,None,Novice,None,Intermediate,None,NA,"Machine Learning, Scraping",NA,NA,NA,International,NA,"Environment, Health, Investigative Reports, Technology, Weather / Climate, Other (please specify)",Science,"Print or broadcast media outlets with a digital site, Online-only digital outlet",NA,In both,NA,"Open access data from unofficial sources, Public official governmental data, Self-administered survey data, Other (please specify)",Data from peer-reviewed science papers and reports,Not applicable,NA,NA,Not applicable,A month or more,NA,No,NA,NA,"Access to quality data, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation, Lack of financial resources, Ensuring data reliability",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Speech-to-text and text-to-speech applications,NA,NA,NA,NA,"Limited understanding of the tool / technology, Concerns about bias and ethics of AI models",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,65+,France,Some college or university study without earning a degree,NA,NA,NA,Full-time employment at a news company/organisation,NA,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums)",NA,More than 10 years,One,"Just me - I am a freelancer, sole proprietor, etc.",I write stories that are enriched and supported by data,NA,None of the above,NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,None of the items listed,NA,Novice,Advanced,Intermediate,Intermediate,Intermediate,None,Advanced,None,NA,Journalism,NA,International,NA,International,NA,"Education, Entertainment, Environment, Government and Politics, Investigative Reports, Lifestyle, Poverty and Development",NA,Online-only digital outlet,NA,NA,NA,Public official governmental data,NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,"One, just me",Less than a day,NA,No,NA,NA,"Access to quality data, Using data ethically, Ensuring data reliability",NA,Average,Average,Average,Average,"Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice",NA,It helps readers make sense of what they are reading,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,25-34,Germany,Bachelor's degree,NA,"Natural sciences (e.g. chemistry, medicine, biology)",NA,Part-time freelancer,NA,"Formal education offline (bootcamps, professional courses and training events), Workplace training (upskill sessions, bootcamps)",NA,3-5 years,More than two,100 to 499 employees,I write stories that are enriched and supported by data,NA,"Analyse data, Clean data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"D3.js, Excel, Google Sheets",NA,Advanced,Advanced,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,"Data Analysis, Journalism, Data Wrangling, Statistics",NA,"Data Analysis, Scraping, Data Visualisation, Data Wrangling, Statistics",NA,International,NA,National,NA,"Economy, Environment, Government and Politics, Investigative Reports, Weather / Climate",NA,"Social media, TV",NA,NA,NA,"Open access data from unofficial sources, Public official governmental data, Social media data",NA,"No dedicated data unit, but regularly publish data driven projects, Sometimes publishing data driven projects",NA,NA,10 or more,Around a day,NA,Yes,One-time project and separate content production,NA,"Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Lack of financial resources, Lack of interest from management",NA,Average,Very Poor,Average,Average,"Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,Yes,Navigate and extract information from social media,NA,Internet media from citizens and social media,NA,"1. **Follow News Websites and Reports:** Keep tabs on news websites and reports related to your areas of interest. Some sites provide regular updates on internet security and technologies.

2. **Utilize Alert Tools:** Use tools like Google Alerts to receive immediate notifications when specific terms or new information appear online.

3. **Monitor Social Media Platforms:** Follow social media accounts of individuals or institutions with shared interests to receive real-time updates.

4. **Join Communities and Forums:** Online forums and communities dedicated to sharing OSINT information exist. Joining them can be an effective way to exchange knowledge.

5. **Upgrade Skills:** Learn and enhance your online research skills, utilizing advanced OSINT tools for optimal results.","1. **Information Accuracy:** Verify the accuracy of information extracted from OSINT sources, as some may be inaccurate or outdated.

2. **Source Integrity:** Avoid violating source rights or causing legal issues. Adhere to publishing ethics and copyright laws.

3. **Privacy Preservation:** Some information gathered through OSINT may require consideration for individuals' privacy. Respect laws and ethics related to privacy protection.

4. **Data Quantity:** Processing large amounts of data poses a challenge. Developing effective skills in data analysis and organization is crucial.

5. **Technology and Security:** Stay updated on the latest technologies and OSINT tools, ensuring the security of your information and systems.

6. **Legal Challenges:** Legal challenges may arise in certain contexts. Ensure compliance with local and international laws.

7. **Deception and Misdirection Techniques:** Some sources may attempt deception or information concealment, posing a challenge that requires high skills in using OSINT tools.","1. **Privacy Consideration:**
   - Avoid collecting or disclosing personal information in a way that jeopardizes individuals' privacy.
   - Show respect for privacy rights and refrain from using information in ways that conflict with these rights.

2. **Obtaining Consent:**
   - When using personal information, ensure obtaining consent from the involved individuals whenever possible.

3. **Source Disclosure:**
   - Present your information transparently and specify your sources. This enhances trust and allows readers to evaluate the information.

4. **Avoiding Sensitive Data Use:**
   - Refrain from collecting or using sensitive data without clear necessity. Be cautious of information that may cause harm to individuals.",Yes,"Natural Language Processing (NLP), Speech-to-text and text-to-speech applications, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Image and video analysis, Text mining, Data visualisation",NA,NA,"Access to training, Financial constraints",NA,Yes,جمال جوهر من صحيفة الشرق الأوسط,NA,Creating job opportunities and increasing funding for institutions that work with data journalism,NA,NA,NA,NA,NA,NA,FALSE
Male,35-44,Germany,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Part-time freelancer,NA,"Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,More than two,"Just me - I am a freelancer, sole proprietor, etc.",None of the above,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,None of the items listed,NA,Novice,Intermediate,Novice,Novice,Novice,Novice,Novice,Journalism,NA,"Data Analysis, Journalism, Ethics",NA,International,NA,International,NA,"Economy, Education, Health, Investigative Reports, Poverty and Development",NA,"Print or broadcast media outlets with a digital site, Online-only digital outlet, Radio",NA,In the online site,NA,Public official governmental data,NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Less than a day,NA,No,NA,NA,"Access to quality data, Lack of adequate knowledge in data analysis, Using data ethically",NA,Poor,Good,Poor,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,Lack of financial resources,NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,45-54,Romania,Bachelor's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time employment at a news company/organisation,NA,"Higher education (university degree, certificates), Workplace training (upskill sessions, bootcamps)",NA,More than 10 years,One,100 to 499 employees,I write stories that are enriched and supported by data,NA,Produce data visualisations,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,Datawrapper,NA,Intermediate,Advanced,Intermediate,Novice,Intermediate,Intermediate,Novice,"Machine Learning, Data Visualisation",NA,"Data Analysis, Scraping, Statistics",NA,National,NA,International,NA,Government and Politics,NA,TV,NA,NA,NA,"Open access data from unofficial sources, Public official governmental data, Self-administered survey data, Social media data",NA,Dedicated data unit/blog/section/desk/team,NA,3-5,2-5,A month or more,NA,No,NA,NA,"Access to quality data, Lack of adequate knowledge in data analysis, Lack of adequate software for scraping or analysis, Lack of financial resources",NA,Average,Average,Average,Average,"Making predictions (e.g., political or weather forecasting), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice, Lack of expert educators",NA,"It increases impartiality, It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,Yes,"Navigate maps, satellites, and location-based information, Create maps and other types of visualisations, Verify sources, images, and/or videos",NA,"News media, Public government data and reports, Professional and academic publications, Grey literature including technical reports, preprints, and unpublished works",NA,NA,"The credibility of the source must be cross checked, the lack of informations on reports authors sometimes doesn't make some sources reliable, but can be used as estimations on specific areas",Always we have to address ethical considerations,Yes,Machine Learning,NA,"Fact-checking and content verification, Image and video analysis, Content generation",NA,NA,"Access to training, Financial constraints, Legal and regulatory challenges",NA,Yes,Roger Simons,"Mapping Irans Unrest: How Mahsa Aminis Death Led to Nationwide Protests, The Guardian",Politics,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Czech Republic,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time freelancer,NA,"Higher education (university degree, certificates)",NA,6-10 years,More than two,500+,"I write stories that are enriched and supported by data, I expose information that is hidden in the data",NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Excel, Google Sheets",NA,Intermediate,Advanced,Novice,None,Novice,None,Novice,"Data Analysis, Journalism",NA,"Data Analysis, Machine Learning, Data Visualisation, Statistics",NA,International,NA,International,NA,"Crime / Courts, Environment, Government and Politics, Investigative Reports, Opinion, Poverty and Development, Weather / Climate",NA,Online-only digital outlet,NA,NA,NA,"Open access data from unofficial sources, Public official governmental data, Social media data",NA,Not applicable,NA,NA,2-5,Less than a week,NA,Yes,Ongoing project and co-creation of content,NA,"Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Lack of adequate software for scraping or analysis, Lack of interest from management",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills",NA,"It helps with finding unique stories, It makes a story more reliable",NA,Yes,"Navigate maps, satellites, and location-based information, Fact-check, debunk misinformation, fake news, and biassed media reports, Verify sources, images, and/or videos, Navigate and extract information from social media",NA,"News media, Internet media from citizens and social media, Public government data and reports, Professional and academic publications",NA,With colleagues,Lack of knowledge and time,I am very careful and think that ethics is more important. Always,Yes,"Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Image and video analysis, Text mining, Data visualisation",NA,NA,NA,NA,Yes,Andrey Zakharov,NYT about Bucha,Better learning of management,NA,NA,NA,NA,NA,NA,FALSE
Male,45-54,Germany,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Formal education offline (bootcamps, professional courses and training events), Higher education (university degree, certificates), Workplace training (upskill sessions, bootcamps)",NA,More than 10 years,More than two,50 to 99 employees,I write stories that explain the data,NA,"Analyse data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,Excel,NA,Novice,Advanced,None,Novice,Novice,Novice,Intermediate,"Data Analysis, Journalism, Statistics",NA,"Data Analysis, Journalism, Machine Learning, Data Visualisation",NA,National,NA,National,NA,"Agriculture, Business and Commerce, Crime / Courts, Economy, Education, Government and Politics, Opinion, Sports, Technology, Weather / Climate",NA,Online-only digital outlet,NA,NA,NA,"Crowd-sourced data, Open access data from unofficial sources, Self-administered survey data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,"One, just me",Less than a week,NA,Yes,One-time project and separate content production,NA,"Access to quality data, Lack of interest from consumers",NA,Good,Good,Good,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Computer Vision, Speech-to-text and text-to-speech applications, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Fact-checking and content verification, Text mining, Data cleaning / processing",NA,NA,"Access to training, Legal and regulatory challenges",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,35-44,France,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Part-time employment at a news company/organisation,NA,"Higher education (university degree, certificates)",NA,More than 10 years,More than two,50 to 99 employees,"I write stories that explain the data, None of the above",NA,"Produce data visualisations, None of the above",NA,NA,NA,NA,NA,NA,NA,NA,We use only in-house software,Google Sheets,NA,Novice,Advanced,Novice,Novice,Intermediate,Novice,Novice,"Journalism, Ethics, Statistics",NA,"Data Analysis, Machine Learning, Data Visualisation, Data Wrangling, Statistics",NA,National,NA,"International, National",NA,"Economy, Environment, Health",NA,TV,NA,NA,NA,"Crowd-sourced data, Open access data from unofficial sources, Public official governmental data",NA,Sometimes publishing data driven projects,NA,NA,"One, just me",A month or more,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Lack of financial resources, Ensuring data reliability, Lack of interest from management",NA,Very Poor,Good,Good,Good,"Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of expert educators",NA,"It helps with finding unique stories, It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
